Wavelength (um),n                         
2.304827735,1.43351977
2.330373327,1.433122191
2.355918918,1.432705685
2.381464509,1.432292778
2.4070101,1.43187533
2.432555691,1.431449059
2.458101283,1.431021984
2.483646874,1.430583808
2.509192465,1.430136403
2.534738056,1.429692236
2.560283647,1.429231984
2.585829238,1.428770309
2.61137483,1.428307487
2.636920421,1.427833763
2.662466012,1.427358918
2.688011603,1.426872946
2.713557194,1.4263772
2.739102786,1.425882538
2.764648377,1.425387164
2.790193968,1.42486971
2.815739559,1.424361188
2.84128515,1.423832666
2.866830741,1.423302758
2.892376333,1.422773881
2.917921924,1.422234321
2.943467515,1.421684042
2.969013106,1.421132252
2.994558697,1.420567758
3.020104289,1.420002962
3.04564988,1.41942641
3.071195471,1.418841301
3.096741062,1.418257298
3.122286653,1.417659983
3.147832244,1.417058244
3.173377836,1.416441934
3.198923427,1.415831216
3.224469018,1.415202227
3.250014609,1.414573269
3.2755602,1.413933274
3.301105792,1.413285391
3.326651383,1.412630761
3.352196974,1.411963411
3.377742565,1.411296759
3.403288156,1.410620467
3.428833747,1.409933794
3.454379339,1.409233463
3.47992493,1.408532258
3.505470521,1.407824025
3.531016112,1.407101512
3.556561703,1.406379271
3.582107295,1.4056473
3.607652886,1.404895595
3.633198477,1.404145854
3.658744068,1.403387779
3.684289659,1.402615543
3.709835251,1.401830383
3.735380842,1.401047555
3.760926433,1.400243675
3.786472024,1.399436142
3.812017615,1.398617364
3.837563206,1.397797288
3.863108798,1.396959589
3.888654389,1.396109018
3.91419998,1.395257736
3.939745571,1.394387409
3.965291162,1.393514165
3.990836754,1.392625694
4.016382345,1.391734166
4.041927936,1.390824063
4.067473527,1.389901691
4.093019118,1.388979565
4.118564709,1.388032037
4.144110301,1.387086976
4.169655892,1.386117527
4.195201483,1.385148085
4.220747074,1.384164582
4.246292665,1.383167565
4.271838257,1.382156008
4.297383848,1.381135465
4.322929439,1.380096188
4.34847503,1.379053585
4.374020621,1.377992863
4.399566212,1.376918744
4.425111804,1.375835781
4.450657395,1.374740678
4.476202986,1.3736288
4.501748577,1.37250249
4.527294168,1.371364908
4.55283976,1.370210086
4.578385351,1.36903676
4.603930942,1.367855548
4.629476533,1.366657252
4.655022124,1.365452368
4.680567715,1.364222341
4.706113307,1.362976402
4.731658898,1.361719941
4.757204489,1.360443215
4.78275008,1.35915508
4.808295671,1.357848866
4.833841263,1.356521753
4.859386854,1.355184634
4.884932445,1.353826789
4.910478036,1.352450381
4.936023627,1.351055375
4.961569218,1.349640194
4.98711481,1.34821447
5.012660401,1.346758267
5.038205992,1.345291977
5.063751583,1.34380158
5.089297174,1.342289135
5.114842766,1.340757307
5.140388357,1.339211844
5.165933948,1.337640109
5.191479539,1.336040422
5.21702513,1.334429137
5.242570721,1.332784403
5.268116313,1.331124372
5.293661904,1.329437611
5.319207495,1.327736138
5.344753086,1.325994021
5.370298677,1.324239992
5.395844269,1.322452433
5.42138986,1.32064451
5.446935451,1.31880715
5.472481042,1.316950981
5.498026633,1.315059376
5.523572224,1.313137798
5.549117816,1.311186935
5.574663407,1.309215835
5.600208998,1.307202791
5.625754589,1.305164227
5.65130018,1.303092374
5.676845772,1.300993991
5.702391363,1.298854665
5.727936954,1.29668806
5.753482545,1.294484808
5.779028136,1.292248854
5.804573727,1.289969102
5.830119319,1.287652955
5.85566491,1.285299555
5.881210501,1.282917255
