Wavelength (um),k
5.523572224,0.001123947
5.549117816,0.001144776
5.574663407,0.001165423
5.600208998,0.001185882
5.625754589,0.001206151
5.65130018,0.001232861
5.676845772,0.001256146
5.702391363,0.001282031
5.727936954,0.001305431
5.753482545,0.001329537
5.779028136,0.001357706
5.804573727,0.00138284
5.830119319,0.001412239
5.85566491,0.001440803
5.881210501,0.001468312
5.906756092,0.001497241
5.932301683,0.001525659
5.957847275,0.001557706
5.983392866,0.001592084
6.008938457,0.001619042
6.034484048,0.001654283
6.060029639,0.001689216
6.08557523,0.001723844
6.111120822,0.001758194
6.136666413,0.001798694
6.162212004,0.001836026
6.187757595,0.001869436
6.213303186,0.001912495
6.238848778,0.001956057
6.264394369,0.001997546
6.28993996,0.002040718
6.315485551,0.002084432
6.341031142,0.002132268
6.366576733,0.002179734
6.392122325,0.002226447
6.417667916,0.002284087
6.443213507,0.002329822
6.468759098,0.002391838
6.494304689,0.00244164
6.519850281,0.002502213
6.545395872,0.002562368
6.570941463,0.00263199
6.596487054,0.002690453
6.622032645,0.002763616
6.647578236,0.002836149
6.673123828,0.002911418
6.698669419,0.002989149
6.72421501,0.003072566
6.749760601,0.003156316
6.775306192,0.003250828
6.800851784,0.003340771
6.826397375,0.003443781
6.851942966,0.003551179
6.877488557,0.003659048
6.903034148,0.003774979
6.928579739,0.003906143
6.954125331,0.004033762
6.979670922,0.004179276
7.005216513,0.004334715
7.030762104,0.004493363
7.056307695,0.004667953
7.081853287,0.00485771
7.107398878,0.005064214
7.132944469,0.005291204
7.15849006,0.005531137
7.184035651,0.005801369
7.209581242,0.006089598
7.235126834,0.006416777
7.260672425,0.006777359
7.286218016,0.007179933
7.311763607,0.007623315
7.337309198,0.008121398
7.36285479,0.008690577
7.388400381,0.009338221
7.413945972,0.010080133
7.439491563,0.010924795
7.465037154,0.011906107
7.490582745,0.013042193
7.516128337,0.014373193
7.541673928,0.015943872
7.567219519,0.017797554
7.59276511,0.020000419
7.618310701,0.022651429
7.643856293,0.025836906
7.669401884,0.029704782
7.694947475,0.034409743
7.720493066,0.040168135
7.746038657,0.047255301
7.771584248,0.055982659
7.79712984,0.06676462
7.822675431,0.080061475
7.848221022,0.096405185
7.873766613,0.116334549
7.899312204,0.140323182
7.924857796,0.168604459
7.950403387,0.201001862
7.975948978,0.236810448
8.001494569,0.274867768
8.02704016,0.313874374
8.052585752,0.352770694
8.078131343,0.390937781
8.103676934,0.428141089
8.129222525,0.464400476
8.154768116,0.499780703
8.180313707,0.534180458
8.205859299,0.567311535
8.23140489,0.598741937
8.256950481,0.627957467
8.282496072,0.654557659
8.308041663,0.678393541
8.333587255,0.699653547
8.359132846,0.718878804
8.384678437,0.736878475
8.410224028,0.754513278
8.435769619,0.772472792
8.46131521,0.791123497
8.486860802,0.810407628
8.512406393,0.829908856
8.537951984,0.849162597
8.563497575,0.868103259
8.589043166,0.887502168
8.614588758,0.909049433
8.640134349,0.934115692
8.66567994,0.963438446
8.691225531,0.997247254
8.716771122,1.035442523
8.742316713,1.077864202
8.767862305,1.124575766
8.793407896,1.175852537
8.818953487,1.232117813
8.844499078,1.293717229
8.870044669,1.360846728
8.895590261,1.433477705
8.921135852,1.511027705
8.946681443,1.592438203
8.972227034,1.676220571
8.997772625,1.760473627
9.023318216,1.842984878
9.048863808,1.920796613
9.074409399,1.991404231
9.09995499,2.053575976
9.125500581,2.107229285
9.151046172,2.153389833
9.176591764,2.194373363
9.202137355,2.231214382
9.227682946,2.263498718
9.253228537,2.289819598
9.278774128,2.304008384
9.29368,2.30736
9.304319719,2.306039637
9.329865311,2.296321641
9.355410902,2.275134459
9.380956493,2.247004896
9.406502084,2.211668927
9.432047675,2.167936741
9.457593267,2.11313511
9.483138858,2.052000649
9.508684449,1.987118497
9.53423004,1.920726951
9.559775631,1.847733525
9.585321222,1.767666046
9.610866814,1.680551359
9.636412405,1.591801611
9.661957996,1.503972545
9.687503587,1.418823859
9.713049178,1.336255365
9.73859477,1.254579189
9.764140361,1.172976215
9.789685952,1.09061027
9.815231543,1.008838842
9.840777134,0.928577766
9.866322725,0.851978202
9.891868317,0.780209604
9.917413908,0.713654661
9.942959499,0.652575372
9.96850509,0.596163671
9.994050681,0.54386255
10.01959627,0.494856009
10.04514186,0.448825693
10.07068745,0.405422567
10.09623305,0.364786559
10.12177864,0.326918563
10.14732423,0.292019388
10.17286982,0.260299321
10.19841541,0.231595976
10.223961,0.206067336
10.24950659,0.183442737
