wavelength(m),n
9.04925E-06,1.119592244
9.0748E-06,1.114490813
9.10034E-06,1.109328637
9.12589E-06,1.10411083
9.15143E-06,1.098818535
9.17697E-06,1.093471561
9.20252E-06,1.088056836
9.22806E-06,1.082568824
9.2536E-06,1.077018382
9.27915E-06,1.071398785
9.30469E-06,1.065707494
9.33023E-06,1.059944993
9.35578E-06,1.054119919
9.38132E-06,1.048214859
9.40687E-06,1.042233337
9.43241E-06,1.036179832
9.45795E-06,1.030053343
9.4835E-06,1.023848122
9.50904E-06,1.017564054
9.53458E-06,1.011205546
9.56013E-06,1.004768394
9.58567E-06,0.998253686
9.61122E-06,0.991662542
9.63676E-06,0.984986775
9.6623E-06,0.978231436
9.68785E-06,0.971398382
9.71339E-06,0.964480972
9.73893E-06,0.957484803
9.76448E-06,0.950411098
9.79002E-06,0.943255215
9.81556E-06,0.936026389
9.84111E-06,0.928725818
9.86665E-06,0.92134286
9.8922E-06,0.913885152
9.91774E-06,0.906356004
9.94328E-06,0.898761987
9.96883E-06,0.891105495
9.99437E-06,0.883388496
1.00199E-05,0.875612034
1.00455E-05,0.867782348
1.0071E-05,0.859905082
1.00965E-05,0.851990499
1.01221E-05,0.84404413
1.01476E-05,0.836076282
1.01732E-05,0.828091964
1.01987E-05,0.820095734
1.02243E-05,0.812113948
1.02498E-05,0.804154998
1.02754E-05,0.796228569
1.03009E-05,0.788350495
1.03264E-05,0.780529018
1.0352E-05,0.772797926
1.03775E-05,0.765167533
1.04031E-05,0.757646985
1.04286E-05,0.750267341
1.04542E-05,0.743035535
1.04797E-05,0.735995045
1.05052E-05,0.729155135
1.05308E-05,0.722532063
1.05563E-05,0.716159975
1.05819E-05,0.710040655
1.06074E-05,0.704219948
1.0633E-05,0.698690488
1.06585E-05,0.69349294
1.06841E-05,0.688626985
1.07096E-05,0.684103132
1.07351E-05,0.679958997
1.07607E-05,0.676180118
1.07862E-05,0.672809644
1.08118E-05,0.669798172
1.08373E-05,0.66722417
1.08629E-05,0.665022659
1.08884E-05,0.66325837
1.09139E-05,0.6618831
1.09395E-05,0.660906784
1.09649E-05,0.66041
1.0965E-05,0.660410001
1.09906E-05,0.660439851
1.10161E-05,0.66052907
1.10417E-05,0.661215689
1.10672E-05,0.662318444
1.10927E-05,0.663830386
1.11183E-05,0.665708761
1.11438E-05,0.668015902
1.11694E-05,0.670684236
1.11949E-05,0.673773798
1.12205E-05,0.677222918
1.1246E-05,0.681083439
1.12716E-05,0.685306496
1.12971E-05,0.68993859
1.13226E-05,0.694930837
1.13482E-05,0.70032153
1.13737E-05,0.706078751
1.13993E-05,0.712238361
1.14248E-05,0.718765955
1.14504E-05,0.725691621
1.14759E-05,0.732989433
1.15014E-05,0.740684612
1.1527E-05,0.748761964
1.15525E-05,0.757246498
1.15781E-05,0.766116322
1.16036E-05,0.775381252
1.16292E-05,0.785044345
1.16547E-05,0.795121357
1.16803E-05,0.805608643
1.17058E-05,0.816499487
1.17313E-05,0.827809581
1.17569E-05,0.839533177
1.17824E-05,0.851689115
1.1808E-05,0.864261865
1.18335E-05,0.877275179
1.18591E-05,0.890711002
1.18846E-05,0.904593236
1.19101E-05,0.918902933
1.19357E-05,0.933656563
1.19612E-05,0.948847205
1.19868E-05,0.964480378
1.20123E-05,0.980559575
1.20379E-05,0.997069712
1.20634E-05,1.0140288
1.2089E-05,1.031408848
1.21145E-05,1.049231911
1.214E-05,1.067468808
1.21656E-05,1.086133521
1.21911E-05,1.105205804
1.22167E-05,1.12466765
1.22422E-05,1.144527359
1.22678E-05,1.164742277
1.22933E-05,1.185333637
1.23188E-05,1.206245165
1.23444E-05,1.227482832
1.23699E-05,1.249016785
1.23955E-05,1.270808845
1.2421E-05,1.292868406
1.24466E-05,1.315114812
1.24721E-05,1.337568449
1.24977E-05,1.36016002
1.25232E-05,1.382858644
1.25487E-05,1.405654754
1.25743E-05,1.428448688
1.25998E-05,1.451269569
1.26254E-05,1.474020425
1.26509E-05,1.49667506
1.26765E-05,1.519217124
1.2702E-05,1.541536222
1.27275E-05,1.563674837
1.27531E-05,1.585517268
1.27786E-05,1.607026526
1.28042E-05,1.628207362
1.28297E-05,1.648928352
1.28553E-05,1.669248579
1.28808E-05,1.689070393
1.29064E-05,1.70832916
1.29319E-05,1.727080949
1.29574E-05,1.74518769
1.2983E-05,1.762706723
1.30085E-05,1.779596213
1.30341E-05,1.795743661
1.30596E-05,1.811260095
1.30852E-05,1.826042643
1.31107E-05,1.840078955
1.31362E-05,1.853449498
1.31618E-05,1.866012353
1.31873E-05,1.87786567
1.32129E-05,1.889005256
1.32384E-05,1.899324193
1.3264E-05,1.908985691
1.32895E-05,1.917911764
1.3315E-05,1.926057962
1.33406E-05,1.933596767
1.33661E-05,1.940395883
1.33917E-05,1.946497786
1.34172E-05,1.952036464
1.34428E-05,1.956841215
1.34683E-05,1.961075857
1.34939E-05,1.964785017
1.35194E-05,1.967766388
1.35449E-05,1.970336396
1.35705E-05,1.972405783
1.3596E-05,1.973690984
1.36216E-05,1.974665575
1.36471E-05,1.975294292
1.36612E-05,1.9754
1.36727E-05,1.975347648
1.36982E-05,1.974919219
1.37237E-05,1.97421194
1.37493E-05,1.973301909
1.37748E-05,1.971792328
1.38004E-05,1.969891137
1.38259E-05,1.967821064
1.38515E-05,1.965361614
1.3877E-05,1.962602758
1.39026E-05,1.959648273
1.39281E-05,1.956381915
1.39536E-05,1.952868297
1.39792E-05,1.949179649
1.40047E-05,1.945244404
1.40303E-05,1.941104086
1.40558E-05,1.936812358
1.40814E-05,1.932322605
1.41069E-05,1.927662794
1.41324E-05,1.922878695
1.4158E-05,1.917942605
1.41835E-05,1.912866552
1.42091E-05,1.907684418
1.42346E-05,1.902391868
1.42602E-05,1.896979237
1.42857E-05,1.89145
