wavelength(m),k
2.80269E-06,0.00053
2.80584E-06,0.00054
2.81659E-06,0.00054
2.81849E-06,0.00054
2.82167E-06,0.00055
2.83447E-06,0.00055
2.83768E-06,0.00056
2.84214E-06,0.00056
2.85063E-06,0.00056
2.85388E-06,0.00057
2.86697E-06,0.00057
2.86768E-06,0.000571202
2.87026E-06,0.00058
2.88018E-06,0.00058
2.88351E-06,0.00059
2.89323E-06,0.00059
2.89687E-06,0.00059
2.90023E-06,0.0006
2.91036E-06,0.0006
2.91375E-06,0.00061
2.91877E-06,0.00061
2.9274E-06,0.00061
2.93083E-06,0.00062
2.94118E-06,0.00062
2.94431E-06,0.000629749
2.94464E-06,0.00063
2.95508E-06,0.00063
2.95858E-06,0.00064
2.96912E-06,0.00064
2.96986E-06,0.000641124
2.97265E-06,0.00065
2.98329E-06,0.00065
2.98686E-06,0.00066
2.9954E-06,0.00066
2.9976E-06,0.00066
3.0012E-06,0.00067
3.01205E-06,0.00067
3.01568E-06,0.00068
3.02094E-06,0.00068
3.02297E-06,0.00068
3.02663E-06,0.00069
3.03767E-06,0.00069
3.04136E-06,0.0007
3.04649E-06,0.0007
3.0525E-06,0.0007
3.05623E-06,0.00071
3.06373E-06,0.00071
3.06748E-06,0.00072
3.07203E-06,0.00072
3.07882E-06,0.00072
3.08261E-06,0.00073
3.09023E-06,0.00073
3.09406E-06,0.00074
3.09757E-06,0.00074
3.10174E-06,0.00074
3.10559E-06,0.00075
3.11721E-06,0.00075
3.1211E-06,0.00076
3.12312E-06,0.00076
3.12891E-06,0.00076
3.13283E-06,0.00077
3.1407E-06,0.00077
3.14465E-06,0.00078
3.14866E-06,0.00078
3.15259E-06,0.00078
3.15657E-06,0.00079
3.16456E-06,0.00079
3.16857E-06,0.0008
3.17421E-06,0.0008
3.17662E-06,0.0008
3.18066E-06,0.00081
3.18878E-06,0.00081
3.19285E-06,0.00082
3.19975E-06,0.00082
3.20102E-06,0.00082
3.20513E-06,0.00083
3.21337E-06,0.00083
3.2175E-06,0.00084
