wavelength,n
0.000006075,1.384527931
6.08158E-06,1.384429294
6.09473E-06,1.384231634
6.10788E-06,1.384033458
6.12103E-06,1.383834768
6.13418E-06,1.383635567
6.14734E-06,1.383435857
6.16049E-06,1.38323564
6.17364E-06,1.383034918
6.18679E-06,1.382833692
6.1935E-06,1.382730874
6.19994E-06,1.382631962
6.2131E-06,1.382429713
6.22625E-06,1.382226943
6.2394E-06,1.382023654
6.25255E-06,1.381819848
6.2657E-06,1.381615526
6.27886E-06,1.381410692
6.29201E-06,1.381205347
6.30516E-06,1.380999493
0.000006312,1.380892249
6.31831E-06,1.38079313
6.33147E-06,1.380586241
6.34462E-06,1.380378825
6.35777E-06,1.380170885
6.37092E-06,1.379962422
6.38407E-06,1.379753438
6.39723E-06,1.379543935
6.41038E-06,1.379333916
6.42353E-06,1.379123381
6.4305E-06,1.37901159
6.43668E-06,1.378912331
6.44983E-06,1.37870075
6.46299E-06,1.378488636
6.47614E-06,1.378275992
6.48929E-06,1.378062819
6.50244E-06,1.37784912
6.51559E-06,1.377634895
6.52875E-06,1.377420147
6.5419E-06,1.377204879
0.000006549,1.377088417
6.55505E-06,1.376989088
6.5682E-06,1.376772761
6.58135E-06,1.376555895
6.59451E-06,1.376338492
6.60766E-06,1.376120555
6.62081E-06,1.375902085
6.63396E-06,1.375683083
6.64711E-06,1.375463552
6.66027E-06,1.375243494
6.6675E-06,1.375122238
6.67342E-06,1.375022908
6.68657E-06,1.374801778
6.69972E-06,1.374580104
6.71287E-06,1.374357887
6.72603E-06,1.374135129
6.73918E-06,1.373911832
6.75233E-06,1.373687997
6.76548E-06,1.373463626
6.77863E-06,1.373238722
0.000006786,1.373112542
6.79179E-06,1.373013282
6.80494E-06,1.372787294
6.81809E-06,1.372560754
6.83124E-06,1.372333665
6.8444E-06,1.372106029
6.85755E-06,1.371877846
6.8707E-06,1.37164912
6.88385E-06,1.371419851
6.897E-06,1.371190041
6.9045E-06,1.371058808
6.91016E-06,1.37095969
6.92331E-06,1.370728783
6.93646E-06,1.370497319
6.94961E-06,1.370265298
6.96276E-06,1.370032724
6.97592E-06,1.369799596
6.98907E-06,1.369565918
7.00222E-06,1.36933169
7.01537E-06,1.369096915
0.000007023,1.368960495
7.02852E-06,1.368861591
7.04168E-06,1.368625705
